FILE: فهرست.xlsx
SHEET: فهرست
ROWS: 23
COLS: 5

Row	A	B	C	D	E
1	ردیف	عنوان	مکان	نوع	نام_فایل_عکس
2	1	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-01.jpg
3	2	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-02.jpg
4	3	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-03.jpg
5	4	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-04.jpg
6	5	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-05.jpg
7	6	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-06.jpg
8	7	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-07.jpg
9	8	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-08.jpg
10	9	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-09.jpg
11	10	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-10.jpg
12	11	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-11.jpg
13	12	سازمان انرژی اتمی	صفحه شخصی مهندس اسلامی در پیام‌رسان بله	شبکه اجتماعی	aeoi-bale-personal-01.jpg
14	13	سازمان انرژی اتمی	امیرآباد - انتهای کارگر شمالی	بیلبورد	aeoi-amirabad-12.jpg
15	14	سازمان انرژی اتمی	سایت رسمی سازمان	اقدام	aeoi-website-01.png
16	15	سازمان انرژی اتمی	صفحه رسمی در ویراست	شبکه اجتماعی	aeoi-virasty-01.jpg
17	16	سازمان انرژی اتمی	صفحه رسمی در اینستاگرام	شبکه اجتماعی	aeoi-instagram-fa-01.jpg
18	17	سازمان انرژی اتمی	صفحه رسمی در پیام‌رسان بله	شبکه اجتماعی	aeoi-bale-official-01.jpg
19	18	سازمان انرژی اتمی	صفحه رسمی در پیام‌رسان تلگرام	شبکه اجتماعی	aeoi-telegram-01.jpg
20	19	سازمان انرژی اتمی	پورتال داخلی سازمان	اقدام	aeoi-intranet-01.jpg
21	20	سازمان انرژی اتمی	صفحه رسمی سازمان در ایکس	شبکه اجتماعی	aeoi-x-01.jpg
22	21	سازمان انرژی اتمی	صفحه رسمی به زبان انگلیسی در اینستاگرام	شبکه اجتماعی	aeoi-instagram-en-01.jpg
23	22	سازمان انرژی اتمی	ورودی سازمان	بیلبورد	aeoi-entrance-01.jpg
